Product,Price,Description
Oak Ridge Pinot Noir, 14.49,"James Suckling-Willamette Valley, OR - ""There's impressively deep and ripe, typically pinot, cherries here with admirable concentration on the palate, as well as a smooth, velvety tannin texture. Long and suave. This is a really delicious pinot noir."""
"Migration Pinot Noir RRV, 2016", 34.99,"Bourgogne, France- Light garnet with brick rim. Clean nose, showing moderately intense aromas of baking spices, earth, raspberries, some kirsch and forest floor. Aromas of spiced plum compote on the palate with a slight peppery, vegetal hint."
"Penner Ash Pinot Noir Willamette, 2009", 43.99,California- The Cloud Break Pinot Noir has charming aromas of raspberry and strawberry with notes of vanilla. Oak-aging rounds out the wine and gives it body. Flavors of fresh...
Testarossa Pinot Noir Santa Lucia Highlands, 39.99,"Wine Spectator-Sonoma, CA - ""Intense and vibrant flavors of dark cherry, cedary spice and cola are backed by powerful acidity, with medium-grained tannins on the sinewy finish..."
Undivided Pinot Noir, 12.99,"Wine Spectator-Willamette Valley, Oregon - ""Fresh and open-knit, with elegant cherry and strawberry flavors accented by rose petal and tea notes."" 4232 cases made. Pairs well..."
Recas Castle Pinot Noir, 5.99,"Wine Enthusiast -Central Otago, New Zealand - ""Cherry in color, this is a soft, autumnal Pinot that's a little earthy, with notes wilted violets, mushrooms...but with plenty..."
Acrobat Pinot Noir, 15.49,"France- A joint project between New World and Old World winemakers brings together the best of both in this supple, elegant Pinot Noir filled with ripe berry, cherry and spice..."
Dom St Germain Bourgogne Rouge, 14.99,"Wine Enthusiast -Central Coast, California - ""Ripe cherry fruit is cut by touches of rust and turned soil on the inviting nose of this bottling. The mouthfeel is thick and grippy, carrying rounded berry flavors, a hint of baking spice and some dried thyme on the back end."""
Imagery Pinot Noir, 16.99,"Monterey, California- Blue Canyon Pinot Noir is medium-bodied with a silky texture and a long, layered finish. This elegant Pinot Noir has rich flavors of black cherry, vanilla and oak spice, with a little rose petal on the nose. Pairs well with pork, mushroom risotto and rack of lamb."
"Kudos Pinot Noir Hyland, 2016", 28.99,"Burgundy, France- Unfiltered.This beautiful red from the rolling hills of Burgundy is soft and elegant. It has ripe cherry and berry notes from the blend of Pinot Noir and Gamay. Soft tannins give gentle support to the fruit, while the heady aromas carry hints of herb and red fruit."
Jadot Bourgogne Pinot Noir, 14.97,"Wine Enthusiast -Willamette Valley, Oregon- ""Part of the limited edition vineyard designate series, this stands apart for its elegant, aromatic style. Beet root, pomegranate..."
Cloud Break Pinot Noir, 16.99,"Wine Enthusiast -Santa Rita Hills, Santa Barbara, CA- ""Dark and deep aromas of black cherry, clove, allspice, black pepper and char make for a hearty impression on this appellation blend. The palate is also rich and powerful, its thick mouthfeel showing black cherry, cocoa, vanilla..."""
"Patz & Hall Pinot Noir Sonoma Coas, 2016", 56.99,"California - The Montoya Pinot Noir is crafted with grapes selected from Monterey where rich soils and cool ocean breezes produce delicious, full-flavored wines. Rich, long lasting flavors of raspberry and black cherry lead to a smooth finish."
"Cardwell Hill Pinot Noir Willamette, 2014", 26.99,"South of France- Rich and supple, this delicious red shows notes of fresh cherries and raspberries supported by soft, easy-drinking tannins that give structure without being..."
"Rabbit Ranch Pinot Noir, 2016", 26.99,"Russian River Valley, Sonoma, CA- Aromas of bright cherry, clove and cinnamon. Beautifully structured with lush texture and ripe, velvety tannins. Finishes with hints of raspberry and more spice notes."
Kiwi Cuvee Pinot Noir, 9.99,"California- Pretty, fruity aromas of red cherry, blueberry, oak and spice with flavors to match. Packaged in a crisp, firm, smooth texture, with fruit flavors that echo on the..."
"Hahn Pinot Noir Santa Lucia Highlands Estate, 2016", 24.99,"Mendoza, Argentina - Sourced from high altitude vineyards in Mendoza, this wine is reflective of the outstanding natural soil and climate conditions. Vivid, supple and distinctive with rose petal accents, red cherry and raspberry flavors. Elegant and refined."
Blue Canyon Pinot Noir Monterey, 15.99,"James Suckling-McMinnville, OR - ""A ripe and beautiful Pinot Noir with dark berry, peach and hints of walnuts. Full body, dusty tannins and a flavorful finish. An impressive..."
Louis Chavy Coteaux Bourguignon, 15.99,CA - Brilliant garnet color with seductive rose petal green tea aroma. The palate is ripe with heavily extracted cherry and strawberry flavors with a slight astringency akin...
"King Estate Pinot Noir Willamette Valley, 2014", 24.99,"A silky, smooth and spicy red wine with dark cherry and wild raspberry flavors."
"Westerly Pinot Noir Santa Rita Hills, 2013", 39.99,"California - SMOOTH, SMOOTH, and SMOOTH! This fresh Pinot Noir is soft as silk. A great crowd pleaser for when you need impress the friends. The soft flavors of strawberry, spice, and fresh herbs keep this classic California Pinot Noir interesting."
Montoya Pinot Noir, 17.99,"Wine Spectator-Willamette Valley, OR- ""Polished and harmonious, with expressive raspberry and smoky spice flavors that glide along the finish. Drink now..."" Pairs well with duck/other game birds, casseroles, and stews."
Reserve St Martin Pinot Noir, 9.99,"France- This delicious, ripe wine from the Pays d'Oc carries notes of cherry, earth and cedar, with hints of raspberry and spice. The aromatic nose shows notes of dark fruits..."
Peter Paul Pinot Noir Gravenstein Russian River Valley, 29.99,"The Tasting Panel-Monterey, California - ""...it's beautiful, deep ruby color and bright, fruity aromas of cranberry, currant and plum with hints of vanilla...Strawberry rhubarb fills the mouth with spiced accents of cinnamon as dark chocolate emerges slowly. Crisp fruit persists on the palate..."""
Cooper Station Pinot Noir, 12.49,"Wine Spectator-Willamette Valley, OR- ""Taut, focused and broad enough to let the black cherry, raspberry and savory flavors pop against fine tannins. The finish persists easily."" Drink now or cellar"
Cruz Alta Pinot Noir Reserve, 12.99,"Monterey, CA- A medium-bodied Pinot Noir with bright, fragrant red berry tones, complemented by a lovely spice nuance and deep earthy notes. The palate echoes the nose, with..."
"Maysara Pinot Noir Jamsheed McMinnville, 2012", 32.99,"Wine Spectator-Oregon - ""Supple and elegantly complex, with plush raspberry, orange peel and cinnamon flavors that glide along the finish. Drink now..."" Try pairing this wine..."
Smoking Loon Pinot Noir, 4.99,"Sonoma, CA- Aromas of cherry, chocolate, anise and clove. The mouth is viscous and smooth with lingering sweetness from ripe fruit and sweet oak. Wild berries and cola light..."
Barefoot Cellars Pinot Noir, 4.77,"Wine Enthusiast -Bulgaria - ""This Pinot Noir has delightful aromas of tart cherry, cotton candy, dried violet and powdered cocoa. On the palate there are flavors of pomegranate, fresh cherry, dried Mediterranean herbs and milk chocolate. It is well balanced, with a splash of acidity in the finish."""
Big Sipper Pinot Noir, 6.99,"California- An elegant yet complex Pinot Noir that delivers flavors and aromas of wild strawberry, plum, cherries, and a hint of spicy clove. A versatile wine, this Pinot Noir..."
"Ken Wright Pinot Noir Willamette, 2015", 29.99,"Nuits St Georges, Burgundy, France -Mid crimson. This smells quite evolved already! Neat, well balanced and very charming with real substance and savor. Easy to see why this..."
Louis Chavy Pinot Noir, 13.49,"Central Coast, CA- Wild Horse Pinot Noir bursts with aromas and flavors of dried cherry, vanilla, cinnamon, and earth, with a rich lingering mouthfeel. A versatile wine, this..."
"Talbott Pinot Noir Kali Hart, 2016", 24.99,"A not-too-dry, juicy, medium-bodied red wine with earthy red cherry, blackberry liqueur and smoky oak."
"Winderlea Pinot Noir Dundee Hills Vineyards, 2014", 37.99,"California- Fermented gently at cool temperatures to preserve aromatics, the wine was gently pressed and aged in French oak; partly new, but also much of it in our once-used..."
Carmel Road Pinot Noir Monterey, 14.99,"Los Carneros, Sonoma, CA- A bold expression of classic varietal character. Rich and opulent, with layered dark fruit highlighted by delicately earthy smoke and spice notes. Sourced from the legendary Sangiacomo Vineyards in Sonoma."
"Argyle Pinot Noir Reserve, 2016", 38.99,"Hautes-Cotes de Beaune, Burgundy, France- Tasty, superb value, Pinot Noir from a region just outside the boundaries of the famous Cote de Beaune. Strawberry, cherry, spice and..."
Sonoma Loeb Pinot Noir Sonoma Coast, 34.99,"Flavors of ripe cherry, raspberry and plum are met by toasty oak notes that lend depth and length to the fruit-forward character of this wine. Hints of toffee and leather join..."
"Bulgariana Pinot Noir, 2014", 14.99,"Willamette Valley, Oregon- Utilizing old world winemaking techniques Cristom handcrafts wines that are smooth, elegant and subtle. This tasty blend of estate vineyards exhibits plenty of red and black cherry flavors accented with plum and vanilla tones. Lush, silky textured finish."
Chloe Pinot Noir, 10.99,"Italy- Fresh, fruit-driven and crowd-pleasing, this supple Pinot Noir shows hints of fresh cherry and berry layered in a soft, easy-drinking style. The ripe aromas of plum and..."
